study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501177	SRS2455865	SRX3121181	SRR5963270	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963270	N4_151_014G1
PRJNA396794	SAMN07501178	SRS2455866	SRX3121182	SRR5963271	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963271	N4_151_017G1
PRJNA396794	SAMN07501179	SRS2455867	SRX3121183	SRR5963272	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963272	N4_151_021G1
PRJNA396794	SAMN07501180	SRS2455868	SRX3121184	SRR5963273	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963273	N4_152_006G1
PRJNA396794	SAMN07501181	SRS2455870	SRX3121185	SRR5963274	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963274	N4_152_014G1
PRJNA396794	SAMN07501182	SRS2455869	SRX3121186	SRR5963275	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963275	N4_152_018G1
PRJNA396794	SAMN07501183	SRS2455871	SRX3121187	SRR5963276	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963276	N4_152_021G1
PRJNA396794	SAMN07501184	SRS2455873	SRX3121188	SRR5963277	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963277	N4_154_006G1
PRJNA396794	SAMN07501185	SRS2455872	SRX3121189	SRR5963278	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963278	N4_154_009G1
PRJNA396794	SAMN07501186	SRS2455874	SRX3121190	SRR5963279	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963279	N4_154_013G1
PRJNA396794	SAMN07501187	SRS2455875	SRX3121191	SRR5963280	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963280	N4_154_020G1
PRJNA396794	SAMN07501188	SRS2455876	SRX3121192	SRR5963281	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963281	N4_155_006G1
PRJNA396794	SAMN07501189	SRS2455877	SRX3121193	SRR5963282	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963282	N4_155_009G1
PRJNA396794	SAMN07501190	SRS2455878	SRX3121194	SRR5963283	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963283	N4_155_013G1
PRJNA396794	SAMN07501191	SRS2455879	SRX3121195	SRR5963284	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963284	N4_155_020G1
PRJNA396794	SAMN07501192	SRS2455880	SRX3121196	SRR5963285	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963285	N4_159_015G1
PRJNA396794	SAMN07501193	SRS2455881	SRX3121197	SRR5963286	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963286	N4_159_024G1
PRJNA396794	SAMN07501194	SRS2455882	SRX3121198	SRR5963287	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963287	N4_159_031G1
PRJNA396794	SAMN07501195	SRS2455883	SRX3121199	SRR5963288	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963288	N4_159_039G1
PRJNA396794	SAMN07501196	SRS2455884	SRX3121200	SRR5963289	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963289	N4_159_053G1
PRJNA396794	SAMN07501197	SRS2455885	SRX3121201	SRR5963290	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963290	N4_160_010G1
PRJNA396794	SAMN07501198	SRS2455887	SRX3121202	SRR5963291	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963291	N4_160_024G1
PRJNA396794	SAMN07501199	SRS2455886	SRX3121203	SRR5963292	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963292	N4_160_039G1
PRJNA396794	SAMN07501200	SRS2455888	SRX3121204	SRR5963293	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963293	N4_160_053G1
PRJNA396794	SAMN07501201	SRS2455889	SRX3121205	SRR5963294	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963294	N4_165_025G1
PRJNA396794	SAMN07501202	SRS2455891	SRX3121206	SRR5963295	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963295	N4_165_037G1
PRJNA396794	SAMN07501203	SRS2455890	SRX3121207	SRR5963296	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963296	N4_165_051G1
PRJNA396794	SAMN07501204	SRS2455892	SRX3121208	SRR5963297	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963297	N4_166_020G1
PRJNA396794	SAMN07501205	SRS2455893	SRX3121209	SRR5963298	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963298	N4_166_027G1
PRJNA396794	SAMN07501206	SRS2455894	SRX3121210	SRR5963299	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963299	N4_166_061G1
PRJNA396794	SAMN07501207	SRS2455896	SRX3121211	SRR5963300	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963300	N4_167_027G1
