study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	library_name	run_alias	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJNA376566	SRP102872	SAMN06444676	SRS2092513	SRX2698122	SRR5405644	human metagenome	S2_017_013G1	S2_017_013G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405644/SRR5405644.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405644	S2_017_013G1	preterm infant gut metagenome S2_017_013G1
PRJNA376566	SRP102872	SAMN06444675	SRS2092514	SRX2698123	SRR5405645	human metagenome	S2_017_012G1	S2_017_012G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405645/SRR5405645.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405645	S2_017_012G1	preterm infant gut metagenome S2_017_012G1
PRJNA376566	SRP102872	SAMN06444674	SRS2092516	SRX2698124	SRR5405646	human metagenome	S2_017_011G1	S2_017_011G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405646/SRR5405646.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405646	S2_017_011G1	preterm infant gut metagenome S2_017_011G1
PRJNA376566	SRP102872	SAMN06444673	SRS2092517	SRX2698125	SRR5405647	human metagenome	S2_017_010G1	S2_017_010G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405647/SRR5405647.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405647	S2_017_010G1	preterm infant gut metagenome S2_017_010G1
PRJNA376566	SRP102872	SAMN06444672	SRS2092518	SRX2698126	SRR5405648	human metagenome	S2_017_009G1	S2_017_009G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405648/SRR5405648.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405648	S2_017_009G1	preterm infant gut metagenome S2_017_009G1
PRJNA376566	SRP102872	SAMN06444671	SRS2092519	SRX2698127	SRR5405649	human metagenome	S2_017_008G1	S2_017_008G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405649/SRR5405649.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405649	S2_017_008G1	preterm infant gut metagenome S2_017_008G1
PRJNA376566	SRP102872	SAMN06444670	SRS2092520	SRX2698128	SRR5405650	human metagenome	S2_017_007G1	S2_017_007G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405650/SRR5405650.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405650	S2_017_007G1	preterm infant gut metagenome S2_017_007G1
PRJNA376566	SRP102872	SAMN06444669	SRS2092521	SRX2698129	SRR5405651	human metagenome	S2_017_006G1	S2_017_006G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405651/SRR5405651.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405651	S2_017_006G1	preterm infant gut metagenome S2_017_006G1
PRJNA376566	SRP102872	SAMN06444668	SRS2092522	SRX2698130	SRR5405652	human metagenome	S2_016_028G1	S2_016_028G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405652/SRR5405652.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405652	S2_016_028G1	preterm infant gut metagenome S2_016_028G1
PRJNA376566	SRP102872	SAMN06444667	SRS2092523	SRX2698131	SRR5405653	human metagenome	S2_016_027G1	S2_016_027G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405653/SRR5405653.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405653	S2_016_027G1	preterm infant gut metagenome S2_016_027G1
PRJNA376566	SRP102872	SAMN06444666	SRS2092524	SRX2698132	SRR5405654	human metagenome	S2_016_026G1	S2_016_026G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405654/SRR5405654.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/004/SRR5405654	S2_016_026G1	preterm infant gut metagenome S2_016_026G1
PRJNA376566	SRP102872	SAMN06444665	SRS2092525	SRX2698133	SRR5405655	human metagenome	S2_016_025G1	S2_016_025G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405655/SRR5405655.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/005/SRR5405655	S2_016_025G1	preterm infant gut metagenome S2_016_025G1
PRJNA376566	SRP102872	SAMN06444664	SRS2092526	SRX2698134	SRR5405656	human metagenome	S2_016_024G1	S2_016_024G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405656/SRR5405656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/006/SRR5405656	S2_016_024G1	preterm infant gut metagenome S2_016_024G1
PRJNA376566	SRP102872	SAMN06444663	SRS2092527	SRX2698135	SRR5405657	human metagenome	S2_016_023G1	S2_016_023G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405657/SRR5405657.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/007/SRR5405657	S2_016_023G1	preterm infant gut metagenome S2_016_023G1
PRJNA376566	SRP102872	SAMN06444662	SRS2092528	SRX2698136	SRR5405658	human metagenome	S2_016_021G1	S2_016_021G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405658/SRR5405658.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/008/SRR5405658	S2_016_021G1	preterm infant gut metagenome S2_016_021G1
PRJNA376566	SRP102872	SAMN06444661	SRS2092529	SRX2698137	SRR5405659	human metagenome	S2_016_019G1	S2_016_019G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405659/SRR5405659.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/009/SRR5405659	S2_016_019G1	preterm infant gut metagenome S2_016_019G1
PRJNA376566	SRP102872	SAMN06444660	SRS2092530	SRX2698138	SRR5405660	human metagenome	S2_016_018G1	S2_016_018G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405660/SRR5405660.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5405660	S2_016_018G1	preterm infant gut metagenome S2_016_018G1
PRJNA376566	SRP102872	SAMN06444659	SRS2092531	SRX2698139	SRR5405661	human metagenome	S2_016_017G1	S2_016_017G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405661/SRR5405661.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/001/SRR5405661	S2_016_017G1	preterm infant gut metagenome S2_016_017G1
PRJNA376566	SRP102872	SAMN06444658	SRS2092532	SRX2698140	SRR5405662	human metagenome	S2_016_016G1	S2_016_016G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405662/SRR5405662.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/002/SRR5405662	S2_016_016G1	preterm infant gut metagenome S2_016_016G1
PRJNA376566	SRP102872	SAMN06444657	SRS2092533	SRX2698141	SRR5405663	human metagenome	S2_016_015G1	S2_016_015G1.HR.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405663/SRR5405663.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR540/003/SRR5405663	S2_016_015G1	preterm infant gut metagenome S2_016_015G1
