public_code	infant	DOL	campaign	reads	read_bases	read_length	assembly_length	assembly_completeness
N1_014_008G1	N1_014	8	NIH1	34029190	3347502832	98.37151081	13322764	0.979465189
N1_014_009G1	N1_014	9	NIH1	40908170	4070709210	99.50846518	14609090	0.992194322
N1_014_010G1	N1_014	10	NIH1	32341632	3204330418	99.07757339	15386776	0.974486322
N1_014_011G1	N1_014	11	NIH1	39765524	3956125254	99.48631015	15025859	0.984575885
N1_014_012G1	N1_014	12	NIH1	32614586	3229983158	99.03492744	18064114	0.987360594
N1_014_014G1	N1_014	14	NIH1	3794902	375775748	99.02119949	12088085	0.919927313
N1_014_015G1	N1_014	15	NIH1	23052988	2275479724	98.70649844	16334601	0.979988408
N1_014_016G1	N1_014	16	NIH1	36476554	3620131282	99.24542987	16731518	0.991848819
N1_014_017G1	N1_014	17	NIH1	26555204	2624948436	98.84873925	13752981	0.990102731
N1_017_000G1	N1_017	0	NIH1	99566746	9863889840	99.06811497	26903749	0.939397367
N1_017_009G1	N1_017	9	NIH1	36589484	3625644942	99.08980793	8775021	0.955468599
N1_017_010G1	N1_017	10	NIH1	35653604	3539272570	99.26829753	14825936	0.962100802
N1_017_011G1	N1_017	11	NIH1	27323658	2698972328	98.777855	19760280	0.977550041
N1_018_000G1	N1_018	0	NIH1	616411722	57538428344	93.34415017	42433926	0.975742184
N1_018_010G1	N1_018	10	NIH1	32582804	3067126562	94.13329074	12810266	0.969969527
N1_018_011G1	N1_018	11	NIH1	69652444	6322620766	90.77385376	16112599	0.976691069
N1_018_013G1	N1_018	13	NIH1	39843888	3756517558	94.28089844	14485883	0.979087332
N1_018_014G1	N1_018	14	NIH1	31727822	3077240026	96.98869421	11916361	0.983551313
N1_018_016G1	N1_018	16	NIH1	50776458	4782955950	94.19632913	14876583	0.977900349
N1_018_017G1	N1_018	17	NIH1	84654038	7724812432	91.25155296	11651678	0.981466814
N1_018_018G1	N1_018	18	NIH1	39530692	3717725424	94.04655562	11863116	0.974986145
N1_018_019G1	N1_018	19	NIH1	72048496	6587653574	91.43360292	14963313	0.968302878
N1_018_020G1	N1_018	20	NIH1	40837582	3901160340	95.52868091	10570477	0.981019763
N1_018_024G1	N1_018	24	NIH1	91278422	8392432070	91.94322038	11890570	0.973230847
N1_018_037G1	N1_018	37	NIH1	63479076	6208183642	97.79889742	24566967	0.989859808
N1_019_000G1	N1_019	0	NIH1	700979514	68968598304	98.38889287	74221758	0.984220634
N1_019_010G1	N1_019	10	NIH1	32180144	3161960510	98.25812184	7589290	0.986756119
N1_019_011G1	N1_019	11	NIH1	34384086	3388839042	98.55835755	15360324	0.992226084
N1_019_012G1	N1_019	12	NIH1	46301410	4596371226	99.27065344	17750345	0.992058233
N1_019_013G1	N1_019	13	NIH1	31151026	3072689606	98.638472	24257750	0.127155716
N1_019_014G1	N1_019	14	NIH1	32410662	3208838558	99.00564691	24418037	0.985838456
N1_019_015G1	N1_019	15	NIH1	24308840	2386309528	98.16632665	20168711	0.980884279
N1_019_016G1	N1_019	16	NIH1	29828878	2950458060	98.91280725	20017565	0.981631961
N1_019_017G1	N1_019	17	NIH1	27263560	2686064726	98.52215653	20440808	0.990670807
