study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_alias	fastq_ftp	submitted_ftp	sample_alias
PRJNA273761	SAMN03295838	SRX858736	SRR1779133	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779133/SRR1779133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/003/SRR1779133/SRR1779133_2.fastq.gz		NECEvent2014_5_6
PRJNA273761	SAMN03295839	SRX858737	SRR1779134	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779134/SRR1779134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/004/SRR1779134/SRR1779134_2.fastq.gz		NECEvent2014_5_7
PRJNA273761	SAMN03295840	SRX858738	SRR1779135	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779135/SRR1779135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/005/SRR1779135/SRR1779135_2.fastq.gz		NECEvent2014_5_8
PRJNA273761	SAMN03295841	SRX858739	SRR1779136	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779136/SRR1779136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1779136/SRR1779136_2.fastq.gz		NECEvent2014_6_1
PRJNA273761	SAMN03295842	SRX858740	SRR1779137	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779137/SRR1779137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/007/SRR1779137/SRR1779137_2.fastq.gz		NECEvent2014_6_2
PRJNA273761	SAMN03295843	SRX858741	SRR1779138	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779138/SRR1779138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/008/SRR1779138/SRR1779138_2.fastq.gz		NECEvent2014_6_3
PRJNA273761	SAMN03295844	SRX858742	SRR1779139	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779139/SRR1779139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/009/SRR1779139/SRR1779139_2.fastq.gz		NECEvent2014_6_4
PRJNA273761	SAMN03295845	SRX858743	SRR1779140	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779140/SRR1779140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779140/SRR1779140_2.fastq.gz		NECEvent2014_6_5
PRJNA273761	SAMN03295846	SRX858744	SRR1779141	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779141/SRR1779141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1779141/SRR1779141_2.fastq.gz		NECEvent2014_6_6
PRJNA273761	SAMN03295847	SRX858745	SRR1779142	408170	human gut metagenome	PRJNA273761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779142/SRR1779142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/002/SRR1779142/SRR1779142_2.fastq.gz		NECEvent2014_6_7
