study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA422434	SAMN00715266	SRX095797	SRR341716	337	16403764	2952677520
PRJNA422434	SAMN00715267	SRX095798	SRR341717	331	16062696	2891285280
PRJNA422434	SAMN00715268	SRX095799	SRR341718	333	11985011	2157301980
PRJNA422434	SAMN00715269	SRX095800	SRR341719	335	11889902	2140182360
PRJNA422434	SAMN00715270	SRX095801	SRR341720	337	17659797	3178763460
PRJNA422434	SAMN00715271	SRX095802	SRR341721	333	11650621	2097111780
PRJNA422434	SAMN00715272	SRX095803	SRR341722	331	18113476	3260425680
PRJNA422434	SAMN00715273	SRX095804	SRR341723	328	11857505	2134350900
PRJNA422434	SAMN00715274	SRX095805	SRR341724	325	16861449	3035060820
PRJNA422434	SAMN00715275	SRX095806	SRR341725	329	12739564	2293121520
PRJNA422434	SAMN00791901	SRX121934	SRR413556	343	24952099	4491377820
PRJNA422434	SAMN00791902	SRX121935	SRR413557	360	10200206	1836037080
PRJNA422434	SAMN00791903	SRX121936	SRR413558	343	9762766	1757297880
PRJNA422434	SAMN00791904	SRX121937	SRR413559	362	26221444	4719859920
PRJNA422434	SAMN00791905	SRX121938	SRR413560	350	20041022	3607383960
PRJNA422434	SAMN00791906	SRX121939	SRR413561	336	18581699	3344705820
PRJNA422434	SAMN00791907	SRX121940	SRR413562	350	23934818	4308267240
PRJNA422434	SAMN00791908	SRX121941	SRR413563	350	22947492	4130548560
PRJNA422434	SAMN00791909	SRX121942	SRR413564	338	22071124	3972802320
PRJNA422434	SAMN00791910	SRX121943	SRR413565	344	24785565	4461401700
PRJNA422434	SAMN00791911	SRX121944	SRR413566	347	25441486	4579467480
PRJNA422434	SAMN00791912	SRX121945	SRR413567	349	22314647	4016636460
PRJNA422434	SAMN00791913	SRX121946	SRR413568	355	31760983	5716976940
PRJNA422434	SAMN00791914	SRX121947	SRR413569	351	16758676	3016561680
PRJNA422434	SAMN00791915	SRX121948	SRR413570	363	19905167	3582930060
PRJNA422434	SAMN00791916	SRX121949	SRR413571	353	25313934	4556508120
PRJNA422434	SAMN00791917	SRX121950	SRR413572	351	19399934	3491988120
PRJNA422434	SAMN00791918	SRX121951	SRR413573	345	30982655	5576877900
PRJNA422434	SAMN00791919	SRX121952	SRR413574	354	24818064	4467251520
PRJNA422434	SAMN00791920	SRX121953	SRR413575	350	18036999	3246659820
PRJNA422434	SAMN00791921	SRX121954	SRR413576	350	18351868	3303336240
PRJNA422434	SAMN00791922	SRX121955	SRR413577	350	18156148	3268106640
PRJNA422434	SAMN00791923	SRX121956	SRR413578	350	20523207	3694177260
PRJNA422434	SAMN00791924	SRX121957	SRR413579	350	23896902	4301442360
PRJNA422434	SAMN00791925	SRX121958	SRR413580	350	24586362	4425545160
PRJNA422434	SAMN00791926	SRX121959	SRR413581	350	20573009	3703141620
PRJNA422434	SAMN00791927	SRX121960	SRR413582	350	22634192	4074154560
PRJNA422434	SAMN00791928	SRX121961	SRR413583	348	14764050	2657529000
PRJNA422434	SAMN00791929	SRX121962	SRR413584	350	22808268	4105488240
PRJNA422434	SAMN00791930	SRX121963	SRR413585	350	22258959	4006612620
PRJNA422434	SAMN00791931	SRX121964	SRR413586	329	20232978	3641936040
PRJNA422434	SAMN00791932	SRX121965	SRR413587	350	24028485	4325127300
PRJNA422434	SAMN00791933	SRX121966	SRR413588	350	23366050	4205889000
PRJNA422434	SAMN00791934	SRX121967	SRR413589	350	21305906	3835063080
PRJNA422434	SAMN00791935	SRX121968	SRR413590	350	17893573	3220843140
PRJNA422434	SAMN00791936	SRX121969	SRR413591	350	21477925	3866026500
PRJNA422434	SAMN00791937	SRX121970	SRR413592	350	23039229	4147061220
PRJNA422434	SAMN00791938	SRX121971	SRR413593	350	21390701	3850326180
PRJNA422434	SAMN00791939	SRX121972	SRR413594	342	24558401	4420512180
PRJNA422434	SAMN00791940	SRX121973	SRR413595	350	16982031	3056765580
PRJNA422434	SAMN00791941	SRX121974	SRR413596	350	22166871	3990036780
PRJNA422434	SAMN00791942	SRX121975	SRR413597	350	14161663	2549099340
PRJNA422434	SAMN00791943	SRX121976	SRR413598	350	22454026	4041724680
PRJNA422434	SAMN00791944	SRX121977	SRR413599	350	22301973	4014355140
PRJNA422434	SAMN00791945	SRX121978	SRR413600	350	17580815	3164546700
PRJNA422434	SAMN00791946	SRX121979	SRR413601	350	22381860	4028734800
PRJNA422434	SAMN00791947	SRX121980	SRR413602	313	21758932	3916607760
PRJNA422434	SAMN00791948	SRX121981	SRR413603	318	22512999	4052339820
PRJNA422434	SAMN00791949	SRX121982	SRR413604	312	8729294	1571272920
PRJNA422434	SAMN00791950	SRX121983	SRR413605	315	36274466	6529403880
PRJNA422434	SAMN00791951	SRX121984	SRR413606	334	22620302	4071654360
PRJNA422434	SAMN00791952	SRX121985	SRR413607	320	26955536	4851996480
PRJNA422434	SAMN00791953	SRX121986	SRR413608	335	20264246	3647564280
PRJNA422434	SAMN00791954	SRX121987	SRR413609	335	26324899	4738481820
PRJNA422434	SAMN00791955	SRX121988	SRR413610	344	16315250	2936745000
PRJNA422434	SAMN00791956	SRX121989	SRR413611	335	23112992	4160338560
PRJNA422434	SAMN00791957	SRX121990	SRR413612	346	16786226	3021520680
PRJNA422434	SAMN00791958	SRX121991	SRR413613	335	24110017	4339803060
PRJNA422434	SAMN00791959	SRX121992	SRR413614	339	20820445	3747680100
PRJNA422434	SAMN00791960	SRX121993	SRR413615	350	22043005	3967740900
PRJNA422434	SAMN00791961	SRX121994	SRR413616	331	23444954	4220091720
PRJNA422434	SAMN00791962	SRX121995	SRR413617	342	18150151	3267027180
PRJNA422434	SAMN00791963	SRX121996	SRR413618	378	18038677	3246961860
PRJNA422434	SAMN00791964	SRX121997	SRR413619	338	25661969	4619154420
PRJNA422434	SAMN00791965	SRX121998	SRR413620	350	25740853	4633353540
PRJNA422434	SAMN00791966	SRX121999	SRR413621	356	20302821	3654507780
PRJNA422434	SAMN00791967	SRX122000	SRR413622	340	23599993	4247998740
PRJNA422434	SAMN00791968	SRX122001	SRR413623	341	24238727	4362970860
PRJNA422434	SAMN00791969	SRX122002	SRR413624	345	17532349	3155822820
PRJNA422434	SAMN00791970	SRX122003	SRR413625	341	18622607	3352069260
PRJNA422434	SAMN00791971	SRX122004	SRR413626	350	17644968	3176094240
PRJNA422434	SAMN00791972	SRX122005	SRR413627	320	21607980	3889436400
PRJNA422434	SAMN00791973	SRX122006	SRR413628	311	21963080	3953354400
PRJNA422434	SAMN00791974	SRX122007	SRR413629	356	18588649	3345956820
PRJNA422434	SAMN00791975	SRX122008	SRR413630	356	23226204	4180716720
PRJNA422434	SAMN00791976	SRX122009	SRR413631	350	24881408	4478653440
PRJNA422434	SAMN00791977	SRX122010	SRR413632	350	15846945	2852450100
PRJNA422434	SAMN00791978	SRX122011	SRR413633	350	23468754	4224375720
PRJNA422434	SAMN00791979	SRX122012	SRR413634	350	25707480	4627346400
PRJNA422434	SAMN00791980	SRX122013	SRR413635	344	25140559	4525300620
PRJNA422434	SAMN00791981	SRX122014	SRR413636	354	23153519	4167633420
PRJNA422434	SAMN00791982	SRX122015	SRR413637	353	23719413	4269494340
PRJNA422434	SAMN00791983	SRX122016	SRR413638	334	23151807	4167325260
PRJNA422434	SAMN00791984	SRX122017	SRR413639	309	20419986	3675597480
PRJNA422434	SAMN00791985	SRX122018	SRR413640	337	15501919	2790345420
PRJNA422434	SAMN00791986	SRX122019	SRR413641	321	7894631	1421033580
PRJNA422434	SAMN00791987	SRX122020	SRR413642	319	7974060	1435330800
PRJNA422434	SAMN00791988	SRX122021	SRR413643	341	21598437	3887718660
PRJNA422434	SAMN00791989	SRX122022	SRR413644	343	21999788	3959961840
PRJNA422434	SAMN00791990	SRX122023	SRR413645	348	7357252	1324305360
PRJNA422434	SAMN00791991	SRX122024	SRR413646	334	15865564	2855801520
PRJNA422434	SAMN00791992	SRX122025	SRR413647	337	21990091	3958216380
PRJNA422434	SAMN00791993	SRX122026	SRR413648	348	19977052	3595869360
PRJNA422434	SAMN00791994	SRX122027	SRR413649	331	7474014	1345322520
PRJNA422434	SAMN00791995	SRX122028	SRR413650	330	21866487	3935967660
PRJNA422434	SAMN00791996	SRX122029	SRR413651	336	21812996	3926339280
PRJNA422434	SAMN00791997	SRX122030	SRR413652	354	23817663	4287179340
PRJNA422434	SAMN00791998	SRX122031	SRR413653	344	22868233	4116281940
PRJNA422434	SAMN00791999	SRX122032	SRR413654	339	6987735	1257792300
PRJNA422434	SAMN00792000	SRX122033	SRR413655	345	23804227	4284760860
PRJNA422434	SAMN00792001	SRX122034	SRR413656	320	15405229	2772941220
