study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB6456	SAMEA2580025	ERX491043	ERR525808	357	17560223	3506288970
PRJEB6456	SAMEA2580026	ERX491044	ERR525809	332	17767054	3537464210
PRJEB6456	SAMEA2580027	ERX491045	ERR525810	470	26908601	5374055960
PRJEB6456	SAMEA2580028	ERX491046	ERR525811	325	24952186	4981415320
PRJEB6456	SAMEA2580029	ERX491047	ERR525812	319	19974519	3976802370
PRJEB6456	SAMEA2580030	ERX491048	ERR525813	323	28645726	5719415030
PRJEB6456	SAMEA2580031	ERX491049	ERR525814	327	22932277	4581975480
PRJEB6456	SAMEA2580032	ERX491050	ERR525815	337	20899093	4164371190
PRJEB6456	SAMEA2580033	ERX491051	ERR525816	483	23011062	4596260910
PRJEB6456	SAMEA2580034	ERX491052	ERR525817	481	28379685	5668910080
PRJEB6456	SAMEA2580035	ERX491053	ERR525818	324	15438313	3083342960
PRJEB6456	SAMEA2580036	ERX491054	ERR525819	337	21232092	4238301890
PRJEB6456	SAMEA2580037	ERX491055	ERR525820	341	20553307	4105011890
PRJEB6456	SAMEA2580038	ERX491056	ERR525821	337	22574076	4498025200
PRJEB6456	SAMEA2580039	ERX491057	ERR525822	336	15792248	3151689100
PRJEB6456	SAMEA2580040	ERX491058	ERR525823	336	21048045	4203894710
PRJEB6456	SAMEA2580041	ERX491059	ERR525824	330	20934853	4176340570
PRJEB6456	SAMEA2580042	ERX491060	ERR525825	338	14565872	2893666770
PRJEB6456	SAMEA2580043	ERX491061	ERR525826	338	17400303	3472549400
PRJEB6456	SAMEA2580044	ERX491062	ERR525827	337	20285370	4046512730
PRJEB6456	SAMEA2580045	ERX491063	ERR525828	338	21718903	4337482980
PRJEB6456	SAMEA2580046	ERX491064	ERR525829	341	18647075	3715920700
PRJEB6456	SAMEA2580047	ERX491065	ERR525830	347	17156287	3425023470
PRJEB6456	SAMEA2580048	ERX491066	ERR525831	345	17600913	3514974560
PRJEB6456	SAMEA2580049	ERX491067	ERR525832	463	17523362	3495720640
PRJEB6456	SAMEA2580050	ERX491068	ERR525833	335	20630210	4116152370
PRJEB6456	SAMEA2580051	ERX491069	ERR525834	340	13719149	2738365380
PRJEB6456	SAMEA2580052	ERX491070	ERR525835	327	20112682	4016820410
PRJEB6456	SAMEA2580053	ERX491071	ERR525836	327	19532422	3901595000
PRJEB6456	SAMEA2580054	ERX491072	ERR525837	323	18325655	3651208870
PRJEB6456	SAMEA2580055	ERX491073	ERR525838	332	14553990	2905632570
PRJEB6456	SAMEA2580056	ERX491074	ERR525839	341	22745246	4539333770
PRJEB6456	SAMEA2580057	ERX491075	ERR525840	333	19907152	3973438200
PRJEB6456	SAMEA2580058	ERX491076	ERR525841	343	39389112	7845307950
PRJEB6456	SAMEA2580059	ERX491077	ERR525842	336	873862	174491460
PRJEB6456	SAMEA2580060	ERX491078	ERR525843	343	24020494	4796491320
PRJEB6456	SAMEA2580061	ERX491079	ERR525844	331	20982296	4187866090
PRJEB6456	SAMEA2580062	ERX491080	ERR525845	337	22710907	4531282730
PRJEB6456	SAMEA2580063	ERX491081	ERR525846	327	17665532	3526254740
PRJEB6456	SAMEA2580064	ERX491082	ERR525847	340	20292858	4050536320
