study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB32631	SAMEA5617602	ERX3428532	ERR3404880	500	9287588	2270298646
PRJEB32631	SAMEA5617603	ERX3428533	ERR3404881	500	11005353	2698076396
PRJEB32631	SAMEA5617604	ERX3428534	ERR3404882	500	10064914	2467909864
PRJEB32631	SAMEA5617605	ERX3428535	ERR3404883	500	8547310	2091529018
PRJEB32631	SAMEA5617610	ERX3428536	ERR3404884	500	8852803	2168726708
PRJEB32631	SAMEA5617611	ERX3428537	ERR3404885	500	10237370	2508032472
PRJEB32631	SAMEA5617609	ERX3428538	ERR3404886	500	9713597	2372538431
PRJEB32631	SAMEA5617621	ERX3428539	ERR3404887	500	12307005	3015794833
PRJEB32631	SAMEA5617626	ERX3428540	ERR3404888	500	11433487	2810742699
PRJEB32631	SAMEA5617627	ERX3428541	ERR3404889	500	11187346	2746615876
PRJEB32631	SAMEA5617628	ERX3428542	ERR3404890	500	10101416	2474399594
PRJEB32631	SAMEA5617631	ERX3428543	ERR3404891	500	9440002	2308797661
PRJEB32631	SAMEA5617632	ERX3428544	ERR3404892	500	9664950	2364186788
PRJEB32631	SAMEA5617633	ERX3428545	ERR3404893	500	10206004	2497650548
PRJEB32631	SAMEA5616683	ERX3428546	ERR3404894	500	10908370	2663177726
PRJEB32631	SAMEA5616684	ERX3428547	ERR3404895	500	10096513	2469705518
PRJEB32631	SAMEA5616685	ERX3428548	ERR3404896	500	10390952	2546406996
PRJEB32631	SAMEA5617544	ERX3428549	ERR3404897	500	8996810	2195326648
PRJEB32631	SAMEA5617545	ERX3428550	ERR3404898	500	8579148	2095106441
PRJEB32631	SAMEA5617566	ERX3428551	ERR3404899	500	10029243	2456464807
PRJEB32631	SAMEA5617567	ERX3428552	ERR3404900	500	8968525	2189934173
PRJEB32631	SAMEA5617574	ERX3428553	ERR3404901	500	10055588	2459967091
PRJEB32631	SAMEA5617575	ERX3428554	ERR3404902	500	9828526	2406995672
PRJEB32631	SAMEA5617587	ERX3428555	ERR3404903	500	12315875	3021380591
PRJEB32631	SAMEA5617588	ERX3428556	ERR3404904	500	11193438	2741655949
PRJEB32631	SAMEA5617591	ERX3428557	ERR3404905	500	11086585	2718073768
PRJEB32631	SAMEA5617592	ERX3428558	ERR3404906	500	10870005	2660763971
PRJEB32631	SAMEA5616681	ERX3428559	ERR3404907	500	11907474	2914476715
